person,label
00091926,0.001958740003059293
00091a7a,0.027480702596098305
000ba417,0.05435527739676261
000e4d9e,0.0024055092411772306
000e619d,0.003017192098661552
001001be,0.002906697368296331
0010e89a,0.0020624615966879124
0016c4b5,0.0014529610465702973
001804a2,0.008730199640474483
001a2273,0.003917559984739455
00202cdb,0.0015756421856445528
0022965d,0.0005012122905462146
0027574e,0.022604219668755515
00295d74,0.0011975797576322265
002aea56,0.02185405546073255
002ed810,0.01546275098074639
002fb981,0.007733222271307367
00344873,0.0026014807905171754
0038a117,0.11688859639297482
003a05bf,0.004740469123704027
003d07ef,0.16078848064811727
003e7507,0.00445139217535384
00408349,0.0024422058929139557
0041fec6,0.005714201796808715
0043a48e,0.015056236918942716
00546f4c,0.020300934700268964
00556ee5,0.0053767874521452545
0059a996,0.030481695933262092
005af223,0.0065878685126692215
005e06ef,0.025467255496158928
0061cbe8,0.026051938742802493
006549da,0.005159403835504402
006bb312,0.0031138457199574154
006cabc5,0.012933132916970203
006e1534,0.0002717140162484
006fc943,0.0040002235055779396
00750af8,0.010545142184536562
00754f5e,0.0009217116946291995
0076b7dc,0.016349844179097975
007743ca,0.0059937289130692125
007a0564,0.0014564584957013121
0081cd73,0.0016943822128035056
0081f590,0.002411061697556542
008287e4,0.012537070409929685
0083c22c,0.0020047271276384896
0087d959,0.05530955653382737
0089421c,0.04779021374389153
008a6d00,0.017654594703351484
008b4a48,0.002787895196551189
008f480f,0.01838700964330614
008f739f,0.007459945932997533
009648f0,0.27659453187037886
00970caa,0.005468851600394459
009944e1,0.006055720439209848
009f8292,0.007067808466549265
00a2efc2,0.0006811551328179425
00af50bb,0.0038229915576945116
00b0fe02,0.0029959415226960074
00b1b9d0,0.030135821008264858
00b5303d,0.021183917638671078
00b6642b,0.003984833510693006
00b8bba9,0.002507986572448019
00caa482,0.010059951780337546
00cd1373,0.010990728640660257
00cde0db,0.0006638193797113629
00d618ba,0.0009309459624973236
00d8d869,0.00641329483758046
00dcc618,0.0012594785671760334
00e0e219,0.0006651860235872368
00e2e06b,0.006495295071925853
00f1575c,0.06048054604409534
00f369ef,0.0035975206602536424
00f4620f,0.0045601683044622495
00f5c8be,0.16764287078455412
00fd99c6,0.0013962503024439908
00ff2c51,0.010412499146962595
010200b5,0.00642181103309062
01022bf3,0.004905512282714263
01039bf1,0.009671699825737257
010750dc,0.0712961091380671
01094049,0.0025439295756309347
010b0b0b,0.030604107535733272
010f9396,0.004157002078173468
01102549,0.0022670476762895013
01126aa4,0.0019842163401143772
01127f1d,0.003301749585531203
01183209,0.002755369859367394
0121c41e,0.0046331289597808635
0126d440,0.0010789558178241267
0129072b,0.003990828198210917
012af91b,0.001701335698311016
012b81de,0.0029564159349620405
012cd55c,0.0007438794645539184
012d8fd8,0.013952936942009038
0137a57b,0.012705327675538591
013a0e3a,0.276188112774428
013dc935,0.0029700655587334814
013e1cd0,0.003286000833040883
013ef20d,0.0025739177745471454
013fce70,0.0014350713044575258
0144bd58,0.2572779685335188
0146ecbc,0.003579059318870435
014853d4,0.006242541661813293
015fb139,0.004422070279373579
01638753,0.13013670837063576
0163bf88,0.015179506201086454
016419e1,0.0006394420969556703
01696aab,0.002142540331056031
016b86b9,0.0023298067663411848
016d0c8f,0.01831624874709993
016f3833,0.025204634813471866
01716e05,0.004507982560803043
01798556,0.01073865522056677
017a84d1,0.00487103527661692
017d35dc,0.004959124676554849
017fd805,0.03022506912527468
018598e8,0.061565604517571454
018adf26,0.20181253744362485
018c1154,0.0024306136356166503
0190f87d,0.0012063931187588728
019425a8,0.06365163552997813
0196054a,0.019622159540035367
01984bc3,0.0027406537959744474
019ac712,0.0026696748305971877
01a20e81,0.003548365184415602
01ab5296,0.003928726241886259
01ac5844,0.005457806604347341
01ad4042,0.07113181382030055
01ada784,0.016701665420434744
01af6573,0.007063193041734611
01b08442,0.0011190735603120977
01b09758,0.015524753547509842
01b97cb9,0.03220312529771139
01be1d14,0.0014485598849747231
01c3addd,0.13847872973948208
01c862be,0.007725343621962562
01c9f8d2,0.013666317988332236
01caf5bf,0.058224925727067944
01cbe6b3,0.0012794786468759685
01cd8ca8,0.002166852436652397
01d18619,0.0035766727025261444
01d28bce,0.0009326854940493379
01d8711d,0.19510884664920253
01dfb178,0.03926531498581341
01e18191,0.001137704758523385
01f061eb,0.16962229004937107
01f8fa5b,0.001100805187059814
01fe7232,0.003024078845638244
